num,store,address,phone,website,email,notes
1,Warhammer - Colorado Springs,"2912 N Powers Blvd, Colorado Springs, CO 80922",(719) 888-4646,https://www.warhammer.com,,
2,Gamer's Haven,"5681 N Academy Blvd, Colorado Springs, CO 80918",(719) 531-9863,https://www.gamershavenco.com/,,
3,Hobby Smith,"1839 S Academy Blvd, Colorado Springs, CO 80916",(719) 715-3198,https://www.facebook.com/thehobbysmith,,
4,Van's Comics Games Cards,"2427 N Academy Blvd, Colorado Springs, CO 80909",(719) 896-5841,https://vansccg.com/,,
5,Tabletop Citadel,"2051 B Street, Colorado Springs, CO 80906",(719) 639-1472,https://tabletopcitadelcos.com/,,
6,Petrie's Family Games,"7681 N Union Blvd, Colorado Springs, CO 80920",(719) 522-1099,https://petriesgames.com/,,
7,Valkyrie's Loft Toys and Games,"481 W Hwy 105 Unit 205, Monument, CO 80132",(719) 375-0482,https://www.valkyriesloft.games/,,
8,J & J Games N Hobbies,"6324 S Highway 85-87, Fountain, CO 80817",(719) 392-2050,https://jnjgamesnhobbies.com/,,
9,Chaos Games and More,"4065 Club Manor Dr, Pueblo, CO 81008",(719) 542-1237,https://chaosgamesandmore.com/,,
10,Impact Sports Cards & Collectibles,"416 S 8th St, Colorado Springs, CO 80905",(719) 344-9973,https://impactsportscards.com/,,
11,Theo's Toys & Games,"934 Manitou Ave Ste 103, Manitou Springs, CO 80829",(719) 247-8126,https://www.theostoys.com/,,
12,Squatch Bros. Retro Arcade,"246 E Bennett Ave, Cripple Creek, CO 80813",(719) 419-1539,,,
